f1,f2,generation
1,0.740043,20
0.562851,1.00918,20
0.0386995,2.05932,20
0.381699,1.17262,20
0.994344,0.792496,20
0.841654,0.841102,20
0,2.08172,20
0.679628,0.937921,20
0.224776,1.28723,20
0.0890651,1.49762,20
0.182524,1.37466,20
0.463019,1.10456,20
0.917614,0.798249,20
0.0529088,1.72497,20
0.0710141,1.68015,20
0.305208,1.27468,20
0,1.1146,50
0.41569,0.431667,50
0.452297,0.413443,50
0.0444394,0.924226,50
0.299749,0.54688,50
0.628682,0.27676,50
0.0334908,0.939583,50
0.818063,0.175622,50
0.518415,0.363549,50
0.703452,0.230402,50
0.550729,0.334864,50
0.145493,0.708368,50
0.0206338,0.984075,50
0.607515,0.294636,50
0.0534735,0.888281,50
0.0238385,0.968305,50
0.273413,0.574464,50
0.643121,0.265327,50
0.888186,0.12225,50
0.74406,0.213694,50
0.225018,0.626619,50
0.881218,0.139543,50
0.00292234,1.08964,50
0.312632,0.530624,50
0.0720227,0.866804,50
0.954693,0.0904384,50
0.0770259,0.838627,50
0.939063,0.0949889,50
0.00734523,1.04935,50
0.158609,0.700189,50
0.37043,0.491334,50
0.321656,0.519566,50
0.378822,0.477202,50
0.17496,0.695819,50
0.331481,0.513644,50
0.346467,0.510792,50
0.540043,0.35121,50
0.787801,0.1868,50
0.198061,0.657791,50
0.596756,0.301586,50
0.357588,0.506876,50
0.363561,0.498828,50
0.470279,0.400089,50
0.534467,0.357356,50
0.386991,0.47233,50
0.886115,0.132516,50
0.466674,0.40774,50
0.998494,0.0631289,50
0.174035,0.699791,50
0.941658,0.0941324,50
0.399224,0.464837,50
0.391347,0.465674,50
0.55918,0.316635,50
1,0.0481972,50
0.143118,0.727545,50
0.916537,0.109076,50
0.873501,0.139888,50
0.0310014,0.948109,50
0.764671,0.193293,50
0.117224,0.767023,50
0.851654,0.143088,50
0.376714,0.482678,50
0.208325,0.64869,50
0.966043,0.0728072,50
0.681631,0.250059,50
0.793166,0.180082,50
0.409759,0.445209,50
0.275017,0.562026,50
0.0621558,0.869469,50
0.70398,0.219209,50
0.834018,0.150605,50
0.0816805,0.813682,50
0.11145,0.781047,50
0.495081,0.365739,50
0.0505588,0.891238,50
0.688914,0.247033,50
0.522642,0.359594,50
0.00723098,1.0571,50
0.404029,0.453411,50
0.0130996,1.0168,50
0.296589,0.551546,50
0.821439,0.161509,50
0.178724,0.660636,50
0.585124,0.311616,50
0.00468667,1.06865,50
0.0888093,0.80525,50
0.244806,0.594723,50
0.0195551,0.99167,50
0.668436,0.254448,50
0.722906,0.21457,50
0.62795,0.278171,50
0.11979,0.750754,50
0.908104,0.114789,50
0.483229,0.383347,50
0.469425,0.40472,50
0.986221,0.0669354,50
0.296328,0.553807,50
0.929531,0.10646,50
0.947715,0.0910501,50
0.0926232,0.788031,50
0,1.00657,100
1,0.0034352,100
0.516012,0.288243,100
0.390294,0.384567,100
0.366627,0.401144,100
0.632015,0.211636,100
0.00675475,0.924771,100
0.599768,0.23153,100
0.445427,0.338771,100
0.0128361,0.896842,100
0.49055,0.306254,100
0.301969,0.455773,100
0.155741,0.614484,100
0.107754,0.682079,100
0.756058,0.136557,100
0.668938,0.189581,100
0.318227,0.441344,100
0.531548,0.277945,100
0.557736,0.260906,100
0.0681186,0.746053,100
0.000663553,0.987153,100
0.742878,0.142415,100
0.121445,0.659201,100
0.0778985,0.731039,100
0.770597,0.126211,100
0.971971,0.0201725,100
0.0267325,0.846542,100
0.223492,0.53358,100
0.429851,0.351283,100
0.1308,0.646767,100
0.357035,0.410566,100
0.252343,0.505703,100
0.209379,0.549564,100
0.0532942,0.781112,100
0.709774,0.162339,100
0.170053,0.596998,100
0.00222069,0.966653,100
0.958726,0.025887,100
0.138833,0.632731,100
0.00392595,0.946716,100
0.68416,0.180043,100
0.656495,0.196021,100
0.0570854,0.766783,100
0.878168,0.0687907,100
0.417223,0.362993,100
0.0616523,0.757102,100
0.82175,0.1012,100
0.404227,0.372395,100
0.846054,0.0857633,100
0.862644,0.0768162,100
0.269903,0.49049,100
0.572743,0.248929,100
0.727073,0.153998,100
0.241324,0.516847,100
0.184296,0.577221,100
0.461099,0.327292,100
0.0331624,0.824349,100
0.0159425,0.881822,100
0.948397,0.0306121,100
0.82978,0.0953249,100
0.0844883,0.721763,100
0.541288,0.270619,100
0.728442,0.150937,100
0.348785,0.419869,100
0.985405,0.0130658,100
0.227649,0.528872,100
0.294059,0.467481,100
0.277596,0.48243,100
0.547308,0.266132,100
0.840575,0.0921304,100
0.236637,0.520011,100
0.858744,0.079596,100
0.281529,0.475889,100
0.425262,0.356534,100
0.473521,0.318595,100
0.991322,0.0126326,100
0.940798,0.0363742,100
0.794848,0.115868,100
0.896972,0.0571929,100
0.0371772,0.813954,100
0.407062,0.370153,100
0.19875,0.56601,100
0.0427178,0.800384,100
0.193791,0.571102,100
0.00313425,0.95493,100
0.206749,0.555695,100
0.102227,0.686145,100
0.33929,0.424116,100
0.463199,0.327145,100
0.809008,0.106049,100
0.290108,0.470301,100
0.331145,0.433044,100
0.178705,0.585533,100
0.797897,0.111022,100
0.0865617,0.711825,100
0.0205308,0.867231,100
0.89052,0.0611897,100
0.78338,0.120452,100
0.922475,0.0452865,100
0.0977273,0.693466,100
1,1.16263e-05,500
0,1.00001,500
0.0113516,0.893495,500
0.0694841,0.736453,500
0.717935,0.152749,500
0.948631,0.0260415,500
0.743359,0.137894,500
0.0175487,0.867571,500
0.00691306,0.916934,500
0.0257443,0.839564,500
0.080985,0.715508,500
0.894658,0.0541518,500
0.920186,0.0407896,500
0.390017,0.375575,500
0.540214,0.265063,500
0.400831,0.366919,500
0.81053,0.0998003,500
0.497573,0.294633,500
