f1,f2,generation
0.280788,6.45187,20
0.98349,5.95899,20
0.286291,6.10546,20
0.896033,6.10048,20
0.280775,6.81224,20
0.280788,6.31901,20
0.28082,6.13662,20
0.287363,3.52384,50
0.335016,3.43668,50
0.983117,3.10686,50
0.897669,3.18966,50
0.735978,3.30641,50
0.280775,3.52565,50
0.29733,3.51606,50
0.864847,1.32068,100
0.422605,1.61962,100
0.411899,1.63371,100
0.902664,1.27782,100
0.958523,1.15807,100
0.920036,1.27491,100
0.765049,1.40171,100
0.874689,1.31651,100
0.800422,1.32471,100
0.9543,1.22861,100
0.63082,1.48734,100
0.280775,1.64396,100
0.773205,1.37561,100
0.927012,1.25705,100
0.512483,1.56828,100
0.933636,1.23085,100
0.666064,1.40704,100
0.540618,1.52368,100
0.780889,1.3559,100
0.645322,1.46532,100
0.921088,1.26281,100
0.999945,0.0110999,500
0.280775,0.927675,500
0.890436,0.218064,500
0.908339,0.188413,500
0.676949,0.550989,500
0.692258,0.530108,500
0.8529,0.283243,500
0.443364,0.811494,500
0.610251,0.637076,500
0.456524,0.799755,500
0.501973,0.756055,500
0.488295,0.77066,500
0.512322,0.746999,500
0.842095,0.303031,500
0.382355,0.861769,500
0.523158,0.735795,500
0.950957,0.107818,500
0.82229,0.334251,500
0.736277,0.467172,500
0.323206,0.90308,500
0.745166,0.45572,500
0.618235,0.628154,500
0.995812,0.0228697,500
0.33165,0.896896,500
0.295522,0.919206,500
0.874366,0.247293,500
0.660354,0.573478,500
0.405794,0.84294,500
0.830291,0.32051,500
0.880164,0.236908,500
0.594285,0.656219,500
0.312772,0.910186,500
0.750084,0.447574,500
0.785704,0.394001,500
0.774335,0.412686,500
0.705169,0.512949,500
0.96296,0.0848645,500
0.586973,0.664733,500
0.413237,0.83658,500
0.653962,0.58228,500
0.869058,0.255819,500
0.393953,0.853209,500
0.670374,0.55994,500
0.812568,0.352273,500
0.731077,0.475204,500
0.987459,0.038392,500
0.943888,0.12076,500
0.97233,0.0658395,500
0.666439,0.565501,500
0.989231,0.0361705,500
0.716747,0.496473,500
0.374233,0.866967,500
0.929569,0.149331,500
0.600938,0.648477,500
0.980097,0.0516601,500
0.767441,0.422495,500
0.970335,0.0703812,500
0.306699,0.912458,500
0.9117,0.181795,500
0.357631,0.879588,500
0.789492,0.387883,500
0.430174,0.823512,500
0.979254,0.0535274,500
0.755868,0.438984,500
0.340889,0.891935,500
0.640948,0.599709,500
0.709754,0.505597,500
0.368172,0.873039,500
0.567637,0.687991,500
0.469513,0.787289,500
0.625312,0.619109,500
0.574568,0.679055,500
0.923003,0.160539,500
0.505791,0.752958,500
0.699383,0.522518,500
0.778882,0.404639,500
0.547697,0.709673,500
0.29877,0.917479,500
0.839752,0.305766,500
0.477626,0.780461,500
0.398534,0.850056,500
0.435411,0.818349,500
0.794002,0.379918,500
0.857767,0.275274,500
0.955602,0.0976421,500
0.798084,0.37311,500
0.723586,0.48693,500
0.485088,0.773939,500
0.884825,0.228819,500
0.555088,0.700559,500
0.921787,0.16166,500
0.91695,0.171916,500
0.562737,0.693,500
0.646989,0.590276,500
0.834474,0.314244,500
0.803319,0.364983,500
0.581295,0.671266,500
0.931515,0.145531,500
0.859757,0.271701,500
0.638644,0.603085,500
