f1,f2,generation
0.288387,7.17472,20
0.773246,6.87925,20
0.471788,7.02442,20
0.969265,6.82641,20
0.280775,7.27045,20
0.304186,7.1397,20
0.999999,6.82388,20
0.622376,6.99499,20
0.280775,5.1246,50
0.280775,4.80614,50
0.280775,4.86074,50
0.280775,4.76376,50
0.280775,5.94504,50
0.998172,4.18461,50
0.280775,4.37158,50
0.280775,4.65458,50
0.280775,5.02823,50
0.902151,2.14092,100
0.53147,2.32604,100
0.817924,2.16081,100
0.785972,2.17195,100
0.695248,2.19603,100
0.280775,2.40821,100
0.280775,2.53287,100
0.609702,2.27008,100
0.290314,2.39702,100
0.999382,2.01998,100
0.996309,2.05271,100
0.582989,2.28257,100
0.350238,2.36322,100
0.984133,2.09556,100
0.861383,2.14801,100
0.319764,2.36878,100
0.999972,0.0410721,500
0.280775,0.944884,500
0.814355,0.372952,500
0.77704,0.427337,500
0.50782,0.771036,500
0.790073,0.41185,500
0.916884,0.201217,500
0.773669,0.438853,500
0.867669,0.287077,500
0.862114,0.298212,500
0.331349,0.91565,500
0.533362,0.745903,500
0.481281,0.797261,500
0.564575,0.711878,500
0.827795,0.352762,500
0.908604,0.219734,500
0.764165,0.452075,500
0.745522,0.475821,500
0.49332,0.78391,500
0.712304,0.528006,500
0.984368,0.0742444,500
0.557664,0.719309,500
0.629269,0.633552,500
0.659447,0.596037,500
0.883658,0.260836,500
0.708015,0.531059,500
0.721776,0.514016,500
0.439502,0.835263,500
0.637269,0.627531,500
0.526524,0.749131,500
0.973644,0.0943063,500
0.8094,0.379963,500
0.875426,0.27454,500
0.642348,0.619012,500
0.448736,0.824727,500
0.741957,0.483532,500
0.403108,0.863042,500
0.654127,0.60538,500
0.544267,0.733019,500
0.736507,0.494162,500
0.307452,0.930523,500
0.755408,0.463784,500
0.804382,0.391036,500
0.573629,0.701206,500
0.648691,0.612021,500
0.937117,0.164424,500
0.319231,0.923152,500
0.470856,0.804624,500
0.665812,0.58797,500
0.677621,0.573501,500
0.550727,0.727591,500
0.700576,0.54521,500
0.357146,0.89835,500
0.594776,0.67628,500
0.855474,0.310659,500
0.996318,0.0513924,500
0.941439,0.156504,500
0.340005,0.910413,500
0.435033,0.838535,500
0.29799,0.934899,500
0.581352,0.692794,500
0.888921,0.248416,500
0.991499,0.0623113,500
0.292977,0.937548,500
0.414487,0.85501,500
0.613333,0.656286,500
0.947927,0.142731,500
0.852746,0.313017,500
0.970113,0.107076,500
0.488934,0.789099,500
0.846639,0.323344,500
0.423228,0.849365,500
0.372305,0.887991,500
0.513433,0.765142,500
0.622512,0.641672,500
0.900057,0.228019,500
0.519756,0.759498,500
0.410941,0.858091,500
0.960039,0.121659,500
0.945567,0.14899,500
0.395563,0.868287,500
0.365846,0.89286,500
0.83364,0.343296,500
0.730229,0.503665,500
0.928678,0.180648,500
0.977487,0.0856873,500
0.723997,0.511484,500
0.61052,0.659105,500
0.962373,0.116814,500
0.459025,0.816066,500
0.344164,0.905869,500
0.619802,0.646675,500
0.980683,0.082035,500
0.793365,0.404677,500
0.285363,0.943248,500
0.587825,0.685706,500
0.68871,0.558072,500
0.966537,0.10911,500
0.604188,0.665675,500
0.427025,0.845135,500
